Probe	UNQ	Reference	Name	Description	Category	Highest Immune Level	Immune/Non-Immune Ratio
225621_at	UNQ666	LL:85365	ALG2	"asparagine-linked glycosylation 2 homolog (yeast, alpha-1,3-mannosyltransferase)"	Multiple	11272	4.61
222556_at	UNQ1936	LL:29880	ALG5	"asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)"	B Cell	3378	5
207328_at	UNQ13838	LL:246	ALOX15	arachidonate 15-lipoxygenase	Dendritic Cell	2654	44.23
214366_s_at	UNQ4121	LL:240	ALOX5	arachidonate 5-lipoxygenase	Multiple	2411	4.31
228094_at	UNQ722	LL:120425	AMICA	adhesion molecule AMICA	Myeloid	26535	12.2
224461_s_at	UNQ12317	LL:84883	AMID	apoptosis-inducing factor (AIF)-homologous mitochondrion-associated inducer of death	Myeloid	3315	5.77
206121_at	UNQ13783	LL:270	AMPD1	adenosine monophosphate deaminase 1 (isoform M)	B Cell	3077	5.26
212360_at	UNQ1824	LL:271	AMPD2	adenosine monophosphate deaminase 2 (isoform L)	Neutrophil	7106	4.13
207992_s_at	UNQ7719	LL:272	AMPD3	adenosine monophosphate deaminase (isoform E)	Myeloid	4271	7.84
224810_s_at	UNQ17641	LL:88455	ANKRD13	ankyrin repeat domain 13	Multiple	14540	3.74
227877_at	UNQ4673	AY032883	Annexin II		Lymphocyte	4131	6.88
201051_at	UNQ17663	LL:8125	ANP32A	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"	Multiple	8083	3.84
221505_at	UNQ17153	LL:81611	ANP32E	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"	Lymphocyte	5254	3.48
208103_s_at	UNQ17153	LL:81611	ANP32E	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"	Lymphocyte	2557	15.98
213281_at	UNQ2130	LL:3725	AP1	v-jun sarcoma virus 17 oncogene homolog (avian)	B Cell	3964	6.05
221937_at	UNQ2955	LL:11276	AP1GBP1	AP1 gamma subunit binding protein 1	Lymphocyte	3046	3.67
222715_s_at	UNQ2955	LL:11276	AP1GBP1	AP1 gamma subunit binding protein 1	Multiple	2319	4.1
203300_x_at	UNQ13889	LL:8905	AP1S2	"adaptor-related protein complex 1, sigma 2 subunit"	Monocyte	9977	3.87
208074_s_at	UNQ5633	LL:1175	AP2S1	"adaptor-related protein complex 2, sigma 1 subunit"	Myeloid	3995	3.63
230925_at	UNQ10014	LL:54518	APBB1IP	"amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein"	Multiple	22478	8.9
224025_s_at	UNQ13769	LL:10533	APG7L	APG7 autophagy 7-like (S. cerevisiae)	Myeloid	3101	4.77
210873_x_at	UNQ15185	LL:200315	APOBEC3A	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A"	Myeloid	4066	18.91
206632_s_at	UNQ15185	LL:200315	APOBEC3A	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A"	Lymphocyte	2959	8.45
204205_at	UNQ14358	LL:60489	APOBEC3G	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G"	Multiple	8507	20.5
214182_at	UNQ3667	LL:382	ARF6	ADP-ribosylation factor 6	Multiple	2516	3.81
57082_at	UNQ16794	LL:26119	ARH	LDL receptor adaptor protein	T Cell	4487	3.75
221790_s_at	UNQ16794	LL:26119	ARH	LDL receptor adaptor protein	T Cell	2507	6.78
203175_at	UNQ5009	LL:391	ARHG	"ras homolog gene family, member G (rho G)"	Myeloid	9187	5.02
218870_at	UNQ16361	LL:55843	ARHGAP15	Rho GTPase activating protein 15	Multiple	3701	7.05
225173_at	UNQ16964	LL:93663	ARHGAP18	Rho GTPase activating protein 18	Myeloid	11734	8.21
204882_at	UNQ17032	LL:9938	ARHGAP25	KIAA0053 gene product	Multiple	8354	15.47
38149_at	UNQ17032	LL:9938	ARHGAP25	KIAA0053 gene product	Multiple	7090	9.65
224451_x_at	UNQ16958	LL:64333	ARHGAP9	Rho GTPase activating protein 9	Multiple	23729	10.14
232543_x_at	UNQ16958	LL:64333	ARHGAP9	Rho GTPase activating protein 9	Multiple	15971	8.63
226906_s_at	UNQ16958	LL:64333	ARHGAP9	Rho GTPase activating protein 9	Multiple	6876	12.97
204951_at	UNQ5016	LL:399	ARHH	"ras homolog gene family, member H"	Multiple	2634	6.67
205482_x_at	UNQ14419	LL:402	ARL2	ADP-ribosylation factor-like 2	Multiple	2175	3.75
202206_at	UNQ14707	LL:10123	ARL7	ADP-ribosylation factor-like 7	Lymphocyte	8316	9.09
202207_at	UNQ14707	LL:10123	ARL7	ADP-ribosylation factor-like 7	Lymphocyte	7001	5.88
202208_s_at	UNQ14707	LL:10123	ARL7	ADP-ribosylation factor-like 7	Lymphocyte	3704	8.14
224204_x_at	UNQ16718	LL:56938	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	Multiple	4063	7.32
211963_s_at	UNQ16548	LL:10092	ARPC5	"actin related protein 2/3 complex, subunit 5, 16kDa"	Multiple	12288	3.45
226915_s_at	UNQ16720	LL:81873	ARPC5L	"actin related protein 2/3 complex, subunit 5-like"	Lymphocyte	8344	4.17
223101_s_at	UNQ16720	LL:81873	ARPC5L	"actin related protein 2/3 complex, subunit 5-like"	Lymphocyte	6854	4.54
203388_at	UNQ4343	LL:409	ARRB2	"arrestin, beta 2"	Multiple	6407	7.41
218115_at	UNQ16663	LL:55723	ASF1B	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	Multiple	2366	4.38
219918_s_at	UNQ8545	LL:259266	ASPM	"asp (abnormal spindle)-like, microcephaly associated (Drosophila)"	T Cell	2641	11.24
244519_at	UNQ17917	LL:171023	ASXL1	additional sex combs like 1 (Drosophila)	Lymphocyte	3150	3.89
210858_x_at	UNQ12157	LL:472	ATM	"ataxia telangiectasia mutated (includes complementation groups A, C and D)"	Lymphocyte	3656	6.41
212672_at	UNQ12157	LL:472	ATM	"ataxia telangiectasia mutated (includes complementation groups A, C and D)"	Lymphocyte	2443	6.69
208442_s_at	UNQ12157	LL:472	ATM	"ataxia telangiectasia mutated (includes complementation groups A, C and D)"	Lymphocyte	2120	9.02
209281_s_at	UNQ5253	LL:490	ATP2B1	"ATPase, Ca++ transporting, plasma membrane 1"	Myeloid	4105	4.75
201971_s_at	UNQ8408	LL:523	ATP6V1A	"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"	Myeloid	4483	8.3
202874_s_at	UNQ14812	LL:528	ATP6V1C1	"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1"	Myeloid	3256	3.83
202653_s_at	UNQ18022	LL:64844	AXOT	axotrophin	Multiple	2340	3.57
238117_at	UNQ10544	LL:8703	B4GALT3	"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3"	B Cell	2183	6.82
204194_at	UNQ10270	LL:571	BACH1	"BTB and CNC homology 1, basic leucine zipper transcription factor 1"	Multiple	3649	6.95
221234_s_at	UNQ7298	LL:60468	BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	Lymphocyte	2506	8.49
227173_s_at	UNQ7298	LL:60468	BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	Lymphocyte	2171	3.91
236796_at	UNQ7298	LL:60468	BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	Lymphocyte	4317	5.57
236307_at	UNQ7298	LL:60468	BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	Lymphocyte	3528	4.87
243780_at	UNQ13589	LL:115650	BAFFR	"tumor necrosis factor receptor superfamily, member 13C"	B Cell	7229	17.21
223220_s_at	UNQ16255	LL:83666	BAL	B aggressive lymphoma gene	Multiple	10075	4.79
222915_s_at	UNQ17028	LL:55024	BANK1	B-cell scaffold protein with ankyrin repeats 1	B Cell	7059	10.31
219667_s_at	UNQ17028	LL:55024	BANK1	B-cell scaffold protein with ankyrin repeats 1	B Cell	7019	37.94
228928_x_at	UNQ8154	LL:54971	BANP	BTG3 associated nuclear protein	Myeloid	8548	4.11
233186_s_at	UNQ8154	LL:54971	BANP	BTG3 associated nuclear protein	Myeloid	4972	3.64
219966_x_at	UNQ8154	LL:54971	BANP	BTG3 associated nuclear protein	Myeloid	3475	4.86
225472_at	UNQ10703	LL:7918	BAT4	HLA-B associated transcript 4	Multiple	5086	3.91
205965_at	UNQ8097	LL:10538	BATF	"basic leucine zipper transcription factor, ATF-like"	Lymphocyte	3534	8.12
217986_s_at	UNQ4942	LL:11177	BAZ1A	"bromodomain adjacent to zinc finger domain, 1A"	Multiple	2120	3.89
222891_s_at	UNQ12498	LL:53335	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	Multiple	4965	8.21
219497_s_at	UNQ12498	LL:53335	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	B Cell	2788	5.36
222895_s_at	UNQ17508	LL:64919	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	Lymphocyte	15211	14.91
219528_s_at	UNQ17508	LL:64919	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	T Cell	4540	12.11
233302_at	UNQ17508	LL:64919	BCL11B	B-cell CLL/lymphoma 11B (zinc finger protein)	Lymphocyte	2326	6.46
244035_at	UNQ1831	LL:596	BCL2	B-cell CLL/lymphoma 2	Multiple	2165	21.65
205681_at	UNQ5712	LL:597	BCL2A1	BCL2-related protein A1	Myeloid	8115	11.51
225606_at	UNQ10503	LL:10018	BCL2L11	BCL2-like 11 (apoptosis facilitator)	Multiple	16247	6.24
203140_at	UNQ5614	LL:604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	Myeloid	9786	4.72
236439_at	UNQ5614	LL:604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	Multiple	4146	13.37
228758_at	UNQ5614	LL:604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	Myeloid	3712	3.41
206641_at	UNQ6158	LL:608	BCMA	"tumor necrosis factor receptor superfamily, member 17"	B Cell	14375	33.05
230983_at	UNQ16290	LL:199786	BCNP1	B-cell novel protein 1	B Cell	8482	8.88
201169_s_at	UNQ5714	LL:8553	BHLHB2	"basic helix-loop-helix domain containing, class B, 2"	Lymphocyte	3375	3.79
221530_s_at	UNQ4301	LL:79365	BHLHB3	"basic helix-loop-helix domain containing, class B, 3"	Monocyte	5120	3.95
229437_at	UNQ16247	LL:114614	BIC	BIC transcript	Multiple	21211	75.75
227143_s_at	UNQ8948	LL:637	BID	BH3 interacting domain death agonist	Myeloid	7667	4.63
211725_s_at	UNQ8948	LL:637	BID	BH3 interacting domain death agonist	Myeloid	4625	6.8
204493_at	UNQ8948	LL:637	BID	BH3 interacting domain death agonist	Myeloid	2437	7.27
219191_s_at	UNQ16218	LL:51411	BIN2	bridging integrator 2	Multiple	4543	14.9
204860_s_at	UNQ6146	LL:4671	BIRC1	baculoviral IAP repeat-containing 1	Myeloid	2089	15.47
230499_at	UNQ6151	LL:330	BIRC3	baculoviral IAP repeat-containing 3	Multiple	14153	7.11
210538_s_at	UNQ6151	LL:330	BIRC3	baculoviral IAP repeat-containing 3	Multiple	10449	17.56
206255_at	UNQ11026	LL:640	BLK	B lymphoid tyrosine kinase	B Cell	2319	46.38
207655_s_at	UNQ10566	LL:29760	BLNK	B-cell linker	B Cell	5318	4.43
224413_s_at	UNQ8613	LL:83877	BLP1	BBP-like protein 1	Myeloid	11593	3.5
203773_x_at	UNQ11876	LL:644	BLVRA	biliverdin reductase A	Myeloid	5967	4.55
217916_s_at	UNQ17270	LL:51571	BM-009	hypothetical protein BM-009	Multiple	6914	5.93
235275_at	UNQ947	LL:656	BMP8B	bone morphogenetic protein 8b (osteogenic protein 2)	B Cell	2975	3.74
203066_at	UNQ4892	LL:51363	BRAG	B cell RAG associated protein	Multiple	4509	3.5
214911_s_at	UNQ7396	LL:6046	BRD2	bromodomain containing 2	Multiple	5143	3.6
220059_at	UNQ17009	LL:26228	BRDG1	BCR downstream signaling 1	B Cell	2266	8.09
235609_at	UNQ18073	LL:83990	BRIP1	BRCA1 interacting protein C-terminal helicase 1	Multiple	2240	5.33
236226_at	UNQ16217	LL:151888	BTLA	B and T lymphocyte associated	Lymphocyte	4213	23.41
209846_s_at	UNQ2567	LL:11118	BTN3A2	"butyrophilin, subfamily 3, member A2"	Multiple	3647	5.74
212613_at	UNQ2567	LL:11118	BTN3A2	"butyrophilin, subfamily 3, member A2"	Lymphocyte	2134	7.11
204820_s_at	UNQ11183	LL:10384	BTN3A3	"butyrophilin, subfamily 3, member A3"	Lymphocyte	9387	3.55
201457_x_at	UNQ10241	LL:9184	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	Multiple	6405	4.02
201456_s_at	UNQ10241	LL:9184	BUB3	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)	Lymphocyte	2126	3.49
224647_at	UNQ18611	LL:219771	C10orf9	chromosome 10 open reading frame 9	Multiple	8999	3.61
224651_at	UNQ18611	LL:219771	C10orf9	chromosome 10 open reading frame 9	Multiple	6078	3.43
220560_at	UNQ16338	LL:29125	C11orf21	chromosome 11 open reading frame 21	Multiple	2106	3.83
223038_s_at	UNQ9690	LL:58516	C12orf14	chromosome 12 open reading frame 14	Multiple	8517	13.41
219099_at	UNQ16711	LL:57103	C12orf5	chromosome 12 open reading frame 5	Multiple	2394	6.38
219471_at	UNQ13604	LL:80183	C13orf18	chromosome 13 open reading frame 18	Multiple	4724	9.26
44790_s_at	UNQ13604	LL:80183	C13orf18	chromosome 13 open reading frame 18	Multiple	2683	11.18
226630_at	UNQ16756	LL:55320	C14orf106	chromosome 14 open reading frame 106	Multiple	2639	3.57
213246_at	UNQ4413	LL:26175	C14orf109	chromosome 14 open reading frame 109	Myeloid	3487	5.05
229520_s_at	UNQ11612	LL:55668	C14orf118	chromosome 14 open reading frame 118	Multiple	3436	4.04
218940_at	UNQ16993	LL:79609	C14orf138	chromosome 14 open reading frame 138	B Cell	2291	8.49
219316_s_at	UNQ16787	LL:55640	C14orf58	chromosome 14 open reading frame 58	Myeloid	2427	3.52
244033_at	UNQ18195	LL:283580	C14orf61	chromosome 14 open reading frame 61	Lymphocyte	2751	12.8
221739_at	UNQ21037	LL:56005	C19orf10	chromosome 19 open reading frame 10	B Cell	10433	3.65
216483_s_at	UNQ21037	LL:56005	C19orf10	chromosome 19 open reading frame 10	B Cell	6828	4.55
200056_s_at	UNQ14849	LL:10438	C1D	nuclear DNA-binding protein	Multiple	3497	3.91
225399_at	UNQ17004	LL:116461	C1orf19	chromosome 1 open reading frame 19	Multiple	3622	4
223243_s_at	UNQ6092	LL:80267	C1orf22	chromosome 1 open reading frame 22	Multiple	8291	3.47
217966_s_at	UNQ14615	LL:116496	C1orf24	chromosome 1 open reading frame 24	Myeloid	9950	8.22
204439_at	UNQ16692	LL:10964	C1orf29	chromosome 1 open reading frame 29	Multiple	4933	8.97
220688_s_at	UNQ16533	LL:51154	C1orf33	chromosome 1 open reading frame 33	Lymphocyte	2591	7.85
235783_at	UNQ16533	LL:51154	C1orf33	chromosome 1 open reading frame 33	Multiple	2126	4.57
210785_s_at	UNQ16757	LL:9473	C1orf38	chromosome 1 open reading frame 38	Myeloid	5983	5.46
207571_x_at	UNQ16757	LL:9473	C1orf38	chromosome 1 open reading frame 38	Multiple	5707	5.49
208910_s_at	UNQ3543	LL:708	C1QBP	"complement component 1, q subcomponent binding protein"	Lymphocyte	4303	3.46
225252_at	UNQ16669	LL:140809	C20orf139	chromosome 20 open reading frame 139	Myeloid	22274	8
218282_at	UNQ573	LL:55741	C20orf31	chromosome 20 open reading frame 31	B Cell	2268	3.94
227199_at	UNQ16238	LL:23181	C21orf106	chromosome 21 open reading frame 106	Lymphocyte	5931	4.98
231303_at	UNQ17752	LL:54072	C21orf42	chromosome 21 open reading frame 42	Monocyte	3021	11.85
228597_at	UNQ16981	LL:54069	C21orf45	chromosome 21 open reading frame 45	T Cell	2048	4.65
230777_s_at	UNQ17498	AF426259	C21orf83B		B Cell	2582	4.3
226109_at	UNQ16970	LL:54149	C21orf91	chromosome 21 open reading frame 91	Multiple	5796	4
201298_s_at	UNQ16686	LL:55233	C2orf6	chromosome 2 open reading frame 6	Multiple	8260	9.83
201297_s_at	UNQ16686	LL:55233	C2orf6	chromosome 2 open reading frame 6	Multiple	2337	10.62
218023_s_at	UNQ17944	LL:51307	C5orf6	chromosome 5 open reading frame 6	Neutrophil	4341	3.49
220088_at	UNQ5259	LL:728	C5R1	complement component 5 receptor 1 (C5a ligand)	Myeloid	12692	10.67
226135_at	UNQ20110	LL:54887	C6orf107	chromosome 6 open reading frame 107	Myeloid	8215	5.42
225723_at	UNQ4533	LL:154467	C6orf129	chromosome 6 open reading frame 129	Lymphocyte	3294	5.27
229390_at	UNQ11622	LL:221299	C6orf187	chromosome 6 open reading frame 187	Multiple	8245	6.22
229391_s_at	UNQ11622	LL:221299	C6orf187	chromosome 6 open reading frame 187	Multiple	4410	6.17
206707_x_at	UNQ8984	LL:9750	C6orf32	chromosome 6 open reading frame 32	Multiple	12645	35.62
209829_at	UNQ8984	LL:9750	C6orf32	chromosome 6 open reading frame 32	Multiple	4128	13.32
232591_s_at	UNQ3013	LL:55754	C6orf67	chromosome 6 open reading frame 67	Multiple	7210	4.37
225071_at	UNQ16224	LL:116150	C6orf68	chromosome 6 open reading frame 68	Multiple	5852	4.09
223176_at	UNQ22058	LL:222658	C6orf69	chromosome 6 open reading frame 69	Multiple	2806	5.1
225604_s_at	UNQ2908	LL:152007	C9orf19	chromosome 9 open reading frame 19	Multiple	14844	4.53
225919_s_at	UNQ17055	LL:203228	C9orf72	chromosome 9 open reading frame 72	Myeloid	5850	4.05
235626_at	UNQ3288	LL:57118	CAMK1D	calcium/calmodulin-dependent protein kinase ID	Myeloid	7629	4.29
241871_at	UNQ17164	LL:814	CAMK4	calcium/calmodulin-dependent protein kinase IV	T Cell	2095	5.37
210244_at	UNQ1637	LL:820	CAMP	cathelicidin antimicrobial peptide	Multiple	2078	6.2
225565_at	UNQ2711	LL:1385	cAMP-REBP	cAMP responsive element binding protein 1	Multiple	3450	4.11
238034_at	UNQ1465	LL:821	CANX	calnexin	Multiple	4846	4.89
213798_s_at	UNQ2356	LL:10487	CAP1	"CAP, adenylate cyclase-associated protein 1 (yeast)"	Multiple	16053	4.45
201850_at	UNQ5616	LL:822	CAPG	"capping protein (actin filament), gelsolin-like"	Myeloid	11431	4.82
223514_at	UNQ9663	LL:84433	CARD11	"caspase recruitment domain family, member 11"	Lymphocyte	3668	21.58
243154_at	UNQ9663	LL:84433	CARD11	"caspase recruitment domain family, member 11"	Lymphocyte	2270	7.44
224736_at	UNQ17562	LL:55749	CARP-1	cell-cycle and apoptosis regulatory protein 1	Multiple	7343	5.97
206011_at	UNQ1985	LL:834	CASP1	"caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)"	Monocyte	3549	3.86
226036_x_at	UNQ6159	LL:835	CASP2	"caspase 2, apoptosis-related cysteine protease (neural precursor cell expressed, developmentally down-regulated 2)"	Multiple	7353	8.36
202763_at	UNQ5656	LL:836	CASP3	"caspase 3, apoptosis-related cysteine protease"	Multiple	2760	3.97
213373_s_at	UNQ2755	LL:841	CASP8	"caspase 8, apoptosis-related cysteine protease"	Multiple	3280	7.63
229010_at	UNQ9979	LL:867	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	Multiple	3172	13.5
209682_at	UNQ14620	LL:868	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	Lymphocyte	2903	3.56
205379_at	UNQ15741	LL:874	CBR3	carbonyl reductase 3	Dendritic Cell	2127	3.54
201091_s_at	UNQ10760	LL:11335	CBX3	"chromobox homolog 3 (HP1 gamma homolog, Drosophila)"	Lymphocyte	2271	3.66
231862_at	UNQ16890	LL:23468	CBX5	"chromobox homolog 5 (HP1 alpha homolog, Drosophila)"	Multiple	2662	4.4
225297_at	UNQ16658	LL:115106	CCDC5	coiled-coil domain containing 5 (spindle associated)	T Cell	4659	4.93
207533_at	UNQ819	LL:6346	CCL1	chemokine (C-C motif) ligand 1	Multiple	4260	142
206407_s_at	UNQ447	LL:6357	CCL13	chemokine (C-C motif) ligand 13	Dendritic Cell	6924	12.36
207900_at	UNQ814	LL:6361	CCL17	chemokine (C-C motif) ligand 17	Dendritic Cell	7753	172.29
210072_at	UNQ1501	LL:6363	CCL19	chemokine (C-C motif) ligand 19	Myeloid	3283	4.03
205476_at	UNQ821	LL:6364	CCL20	chemokine (C-C motif) ligand 20	Multiple	11602	11.05
207861_at	UNQ9345	LL:6367	CCL22	chemokine (C-C motif) ligand 22	Myeloid	22692	100.85
221463_at	UNQ823	LL:6369	CCL24	chemokine (C-C motif) ligand 24	Monocyte	7646	39.21
205114_s_at	UNQ6977	LL:6348	CCL3	chemokine (C-C motif) ligand 3	Multiple	30214	34.73
204103_at	UNQ80	LL:6351	CCL4	chemokine (C-C motif) ligand 4	Multiple	25164	19.28
204655_at	UNQ91	LL:6352	CCL5	chemokine (C-C motif) ligand 5	Multiple	15222	13.53
1405_i_at	UNQ91	LL:6352	CCL5	chemokine (C-C motif) ligand 5	Multiple	12206	14.98
214038_at	UNQ86	LL:6355	CCL8	chemokine (C-C motif) ligand 8	Multiple	2552	4.68
203418_at	UNQ2354	LL:890	CCNA2	cyclin A2	T Cell	2593	7.41
213226_at	UNQ2354	LL:890	CCNA2	cyclin A2	T Cell	2114	8.13
214710_s_at	UNQ2135	LL:891	CCNB1	cyclin B1	T Cell	2184	5.9
228729_at	UNQ2135	LL:891	CCNB1	cyclin B1	T Cell	2041	7.42
202705_at	UNQ16629	LL:9133	CCNB2	cyclin B2	T Cell	2961	5.15
200951_s_at	UNQ2066	LL:894	CCND2	cyclin D2	Lymphocyte	4698	26.1
200952_s_at	UNQ2066	LL:894	CCND2	cyclin D2	Lymphocyte	3292	12.91
205098_at	UNQ2408	LL:1230	CCR1	chemokine (C-C motif) receptor 1	Multiple	6914	7.47
205099_s_at	UNQ2408	LL:1230	CCR1	chemokine (C-C motif) receptor 1	Multiple	4278	13.58
206978_at	UNQ2389	LL:1231	CCR2	chemokine (C-C motif) receptor 2	Multiple	6116	15.68
208304_at	UNQ8890	LL:1232	CCR3	chemokine (C-C motif) receptor 3	Neutrophil	2238	18.65
206991_s_at	UNQ7644	LL:1234	CCR5	chemokine (C-C motif) receptor 5	Multiple	3333	9.52
206337_at	UNQ1137	LL:1236	CCR7	chemokine (C-C motif) receptor 7	Multiple	11772	39.91
211434_s_at	UNQ862	LL:9034	CCRL2	chemokine (C-C motif) receptor-like 2	Monocyte	4917	13.66
201946_s_at	UNQ7048	LL:10576	CCT2	"chaperonin containing TCP1, subunit 2 (beta)"	Multiple	4433	4.46
207840_at	UNQ9551	LL:11126	CD160	CD160 antigen	Lymphocyte	2961	7.9
208653_s_at	UNQ1714	LL:8763	CD164	"CD164 antigen, sialomucin"	Multiple	3775	3.48
206398_s_at	UNQ1116	LL:930	CD19	CD19 antigen	B Cell	3347	11.95
210325_at	UNQ1117	LL:909	CD1A	"CD1A antigen, a polypeptide"	Dendritic Cell	10195	21.02
206749_at	UNQ1118	LL:910	CD1B	"CD1B antigen, b polypeptide"	Dendritic Cell	9816	75.51
205987_at	UNQ1589	LL:911	CD1C	"CD1C antigen, c polypeptide"	Multiple	7547	26.48
205789_at	UNQ1590	LL:912	CD1D	"CD1D antigen, d polypeptide"	Monocyte	2723	7.46
215784_at	UNQ1396	LL:913	CD1E	"CD1E antigen, e polypeptide"	Dendritic Cell	9252	97.39
208592_s_at	UNQ1396	LL:913	CD1E	"CD1E antigen, e polypeptide"	Dendritic Cell	3879	20.97
205831_at	UNQ914	LL:914	CD2	"CD2 antigen (p50), sheep red blood cell receptor"	Lymphocyte	10244	10.04
228592_at	UNQ2103	LL:931	CD20	"membrane-spanning 4-domains, subfamily A, member 1"	B Cell	33076	30.91
